mode,J,svm_f1,svm_accuracy,svm_params,lr_f1,lr_accuracy,lr_params
gray,2,0.7272727272727273,0.815068493150685,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.6407766990291263,0.7465753424657534,"{'C': 10, 'penalty': 'l2'}"
red,2,0.6666666666666666,0.7671232876712328,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.6336633663366337,0.7465753424657534,"{'C': 10, 'penalty': 'l2'}"
green,2,0.5882352941176471,0.7123287671232876,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.6060606060606061,0.7328767123287672,"{'C': 10, 'penalty': 'l2'}"
blue,2,0.5833333333333334,0.726027397260274,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.5869565217391305,0.7397260273972602,"{'C': 10, 'penalty': 'l2'}"
gray,3,0.6862745098039216,0.7808219178082192,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.6990291262135923,0.7876712328767124,"{'C': 1, 'penalty': 'l2'}"
red,3,0.6732673267326733,0.773972602739726,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.7450980392156863,0.821917808219178,"{'C': 1, 'penalty': 'l2'}"
green,3,0.6730769230769231,0.7671232876712328,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.6796116504854369,0.773972602739726,"{'C': 10, 'penalty': 'l2'}"
blue,3,0.5544554455445545,0.6917808219178082,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.6017699115044248,0.6917808219178082,"{'C': 10, 'penalty': 'l2'}"
gray,4,0.6538461538461539,0.7534246575342466,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.6336633663366337,0.7465753424657534,"{'C': 10, 'penalty': 'l2'}"
red,4,0.6857142857142857,0.773972602739726,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.7272727272727273,0.815068493150685,"{'C': 1, 'penalty': 'l2'}"
green,4,0.7307692307692307,0.8082191780821918,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.6915887850467289,0.773972602739726,"{'C': 1, 'penalty': 'l2'}"
blue,4,0.6608695652173913,0.7328767123287672,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.5945945945945946,0.6917808219178082,"{'C': 10, 'penalty': 'l2'}"
gray,5,0.7058823529411765,0.7945205479452054,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.75,0.821917808219178,"{'C': 0.1, 'penalty': 'l2'}"
red,5,0.8,0.863013698630137,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.7766990291262136,0.8424657534246576,"{'C': 0.1, 'penalty': 'l2'}"
green,5,0.6346153846153846,0.7397260273972602,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.6862745098039216,0.7808219178082192,"{'C': 0.01, 'penalty': 'l2'}"
blue,5,0.6788990825688074,0.7602739726027398,"{'C': 0.01, 'gamma': 1, 'kernel': 'poly'}",0.6153846153846154,0.726027397260274,"{'C': 100, 'penalty': 'l2'}"
